//怪物的装备exp设置DB，系统读入itemdb后，会再读入这个DB。执行@reloadjapp重读此文件。
//怪物ID,怪物名称,怪物中文名,装备经验
//ID,Name,JName,EP
1639,KATRINN,闇●超魔导师,2222
1640,G_SEYREN,骑士领主 赛依连,1157
1641,G_EREMES,十字刺客 艾勒梅斯,1157
1642,G_HARWORD,神工匠 哈沃得,1157
1643,G_MAGALETA,神官 玛嘉雷特,1157
1644,G_SHECIL,神射手 迪文,1157
1645,G_KATRINN,超魔导师 凯特莉娜,1157
1646,B_SEYREN,闇●骑士领主 赛依连,43674
1647,B_EREMES,闇●十字刺客 艾勒梅斯,38809
1648,B_HARWORD,闇●神工匠 哈沃得,37126
1649,B_MAGALETA,闇●神官 玛嘉雷特,38142
1650,B_SHECIL,闇●神射手 迪文,38430
1651,B_KATRINN,闇●超魔导师 凯特莉娜,38603
1652,YGNIZEM,闇●剑士,228
1653,WHIKEBAIN,闇●盗贼,266
1654,ARMAIA,闇●商人,314
1655,EREND,闇●服事,236
1656,KAVAC,闇●弓箭手,244
1657,RAWREL,闇●魔法师,258
1658,B_YGNIZEM,闇●剑士赛尼亚,2791
1659,G_WHIKEBAIN,盗贼 特丽丝,238
1660,G_ARMAIA,商人 娣洁,287
1661,G_EREND,服事 艾贝西,205
1662,G_KAVAC,弓箭手 伊卡勒斯,216
1663,G_RAWREL,魔法师 庞德,227
1664,POTON_CANON,红真晶,325
1665,POTON_CANON_1,黄真晶,343
1666,POTON_CANON_2,绿真晶,301
1667,POTON_CANON_3,蓝真晶,315
1668,ARCHDAM,阿克坦,580
1669,DIMIK,迪靡克,457
1670,DIMIK_1,暴风迪靡克,559
1671,DIMIK_2,冰冻迪靡克,792
1672,DIMIK_3,崩裂迪靡克,570
1673,DIMIK_4,火焰迪靡克,620
1674,MONEMUS,莫内,681
1675,VENATU,红凡娜图,457
1676,VENATU_1,褐凡娜图,413
1677,VENATU_2,绿凡娜图,552
1678,VENATU_3,橘凡娜图,518
1679,VENATU_4,蓝凡娜图,462
1680,HILL_WIND_1,希尔队长,117
1681,GEMINI,双子星-S58,583
1682,REMOVAL,消防魔,200
1683,G_POTON_CANON,红真晶,97
1684,G_ARCHDAM,阿克坦,185
1685,APOCALIPS_H,贝思波,2913
1686,ORC_BABY,兽人宝宝,12
1687,GREEN_IGUANA,绿变色龙,187
1688,LADY_TANEE,嗒妮小姐,1426
1689,G_BACSOJIN,嫦娥,373
1690,G_SPRING_RABBIT,弹簧兔_,195
1691,G_KRABEN,克拉本_,343
1692,BREEZE,微风,200
1693,PLASMA_Y,黄色等离子体,204
1694,PLASMA_R,红色等离子体,100
1695,PLASMA_G,绿色等离子体,124
1696,PLASMA_P,紫色等离子体,138
1697,PLASMA_B,蓝色等离子体,105
1698,DEATHWORD,死亡魔书,327
1699,ANCIENT_MIMIC,狂暴邪恶箱,253
1700,OBSERVATION,监视者,1018
1701,SHELTER,安息者,873
1702,RETRIBUTION,代行刑者,903
1703,SOLACE,慰劳者,764
1704,THA_ODIUM,达纳托斯的憎恨,1794
1705,THA_DESPERO,达纳托斯的绝望,1436
1706,THA_DOLOR,达纳托斯的悲哀,1376
1707,THA_MAERO,达纳托斯的苦恼,1201
1708,THANATOS,魔剑士 达纳托斯的记忆,39711
1709,G_THA_ODIUM,达纳托斯的憎恨_,879
1710,G_THA_DESPERO,达纳托斯的绝望_,781
1711,G_THA_DOLOR,达纳托斯的悲哀_,672
1712,G_THA_MAERO,达纳托斯的苦恼_,672
1713,ACIDUS,俄希托斯,752
1714,FERUS,红贝勒斯,423
1715,NOVUS,诺博斯,90
1716,ACIDUS_,灰俄希托斯,563
1717,FERUS_,绿贝勒斯,388
1718,NOVUS_,黄诺博斯,96
1719,DETALE,迪塔勒泰晤勒斯,3497
1720,HYDRO,三头龙,1278
1721,DRAGON_EGG,龙蛋,124
1722,EVENT_JAKK,万圣节南瓜先生,972
1723,A_SHECIL,闇●神射手_,551
1724,A_POTON_CANON,红真晶_,287
1725,R_PORING,波利_,1
1726,R_LUNATIC,疯兔_,1
1727,R_SAVAGE_BABE,小野猪_,1
1728,R_DESERT_WOLF_B,沙漠幼狼_,1
1729,R_BAPHOMET_,小巴风特_,1
1730,R_DEVIRUCHI,小恶魔_,1
1731,G_DOPPELGANGER,死灵_,373
1732,G_TREASURE_BOX,宝箱_,1
1733,KIEL,基尔,1128
1734,KIEL_,基尔D-01,19854
1735,ALICEL,爱丽削,517
1736,ALIOT,爱丽俄,535
1737,ALIZA,爱丽哲,395
1738,CONSTANT,恒量魔,189
1739,G_ALICEL,爱丽削_,422
1740,G_ALIOT,爱丽俄_,422
1741,G_COOKIE_XMAS,绿饼人_,22
1742,G_KARAT,卡拉特小丑_,133
1743,G_MYSTCASE,邪恶礼盒_,55
1744,G_WILD_ROSE,狂暴野猫_,55
1745,G_CONSTANT,恒量魔_,166
1746,G_ALIZA,爱丽哲_,329
1747,G_SNAKE,青蛇_,1
1748,G_ANACONDAQ,黄蛇_,1
1749,G_MEDUSA,梅杜莎_,1
1750,G_RED_PLANT,红草_,1
1751,RANDGRIS,巴基力 兰特克力斯,40766
1752,SKOGUL,皮影魔,527
1753,FRUS,彩妆皮影魔,466
1754,SKEGGIOLD,褐方体恶魔,1139
1755,SKEGGIOLD_,黑方体恶魔,1233
1756,G_HYDRO,三头龙_,705
1757,G_ACIDUS,俄希托斯_,512
1758,G_FERUS,红贝勒斯_,343
1759,G_ACIDUS_,灰俄希托斯_,439
1760,G_FERUS_,绿贝勒斯_,329
1761,G_SKOGUL,皮影魔_,343
1762,G_FRUS,彩妆皮影魔_,329
1763,G_SKEGGIOLD,褐方体恶魔_,531
1764,G_SKEGGIOLD_,黑方体恶魔_,572
1765,G_RANDGRIS,巴基力 兰特克力斯,1104
1766,EM_ANGELING,天使波利_,972
1767,EM_DEVILING,恶魔波利_,974
1768,GLOOMUNDERNIGHT,黑暗格劳拇得,8962
1769,AGAV,阿加慕,498
1770,ECHIO,依寇,448
1771,VANBERK,潘贝尔克,239
1772,ISILLA,伊辛拉,278
1773,HODREMLIN,噢得瑞林,286
1774,SEEKER,搜索者,341
1775,SNOWIER,雪怪,275
1776,SIROMA,小雪怪,96
1777,ICE_TITAN,冰泰坦神,361
1778,GAZETI,嘎责特,219
1779,KTULLANUX,卡图里斯,26542
1780,MUSCIPULAR,穆斯普拉,208
1781,DROSERA,得罗撒,122
1782,ROWEEN,罗温,49
1783,GALION,嘎龙,174
1784,STAPO,斯塔坡,16
1785,ATROS,阿拖斯,3314
1786,G_AGAV,阿加慕_,1
1787,G_ECHIO,依寇_,1
1788,G_ICE_TITAN,冰泰坦神_,1
1789,ICEICLE,冰锥,55
1790,G_RAFFLESIA,草精_,1
1791,G_GALION,嘎龙_,85
1792,SOCCER_BALL,足球,1
1793,G_MEGALITH,邪恶摩艾_,91
1794,G_ROWEEN,罗温_,30
1795,G_BLOODY_KNIGHT,血腥骑士_,551
1796,G_AUNOE,阿诺依,1
1797,FANAT,泛提,1
1798,G_TREASURE_BOX,宝箱,1
1799,G_SEYREN,骑士领主 赛依连_,1
1800,G_EREMES,十字刺客 艾勒梅斯_,1
1801,G_HARWORD,神工匠 哈沃得_,1
1802,G_MAGALETA,神官 玛嘉雷特_,1
1803,G_SHECIL,神射手 迪文_,1
1804,G_KATRINN,超魔导师 凯特莉娜_,1
1805,L_SEYREN,闇●骑士领主 赛依连_,1
1806,L_EREMES,闇●十字刺客 艾勒梅斯_,1
1807,L_HARWORD,闇●神工匠 哈沃得_,1
1808,L_MAGALETA,闇●神官 玛嘉雷特_,1
1809,L_SHECIL,闇●神射手 迪文_,1
1810,L_KATRINN,闇●超魔导师 凯特莉娜_,1
1811,G_SMOKIE,狸猫_,1
1812,G_LUDE,南瓜魂_,970
1813,G_HYDRO,三头龙_,1
1814,G_MOONLIGHT,月夜猫_,1
1815,EVENT_RICECAKE,元宵魔,1
1816,EVENT_GOURD,葫芦怪,1
1817,G_DETALE,迪塔勒泰晤勒斯_,1
1818,G_ALARM,钟怪_,1
1819,G_BATHORY,巫婆_,1
1820,G_BIGFOOT,大脚熊_,1
1821,G_DESERT_WOLF,沙漠之狼_,1
1822,G_DEVIRUCHI,小恶魔_,1
1823,G_FREEZER,水灵龟_,1
1824,G_GARM_BABY,卡仑宝宝_,1
1825,G_GOBLINE_XMAS,圣诞哥布灵_,1
1826,G_MYST,麦斯特_,1
1827,G_SASQUATCH,雪熊_,1
1828,G_GULLINBURSTI,狂暴野猪_,1
1829,SWORD_GUARDIAN,公会城骑士,2487
1830,BOW_GUARDIAN,公会城弓手,862
1831,SALAMANDER,火蜥蜴,1600
1832,IFRIT,依夫利特,42763
1833,KASA,卡撒,1194
1834,G_SALAMANDER,火蜥蜴_,1
1835,G_KASA,卡撒_,1
1836,MAGMARING,玛格领,91
1837,IMP,小鬼,681
1838,KNOCKER,敲击者,166
1839,BYORGUE,波构,701
1840,GOLDEN_SAVAGE,黄金野猪,970
