// skill_db.txt, Skills Database
//
// Structure of Database:
//
// ID,Range,Hit,Target,Element,SkillInfo1,MaxLv,ListNum,CastCancel,CastDefRate,SkillInfo2,MaxCount,SkillType,BlowCount
//
// 01 Skill ID
// 02 Range: Described In Cells
// 03 Hit: 8-Repeated Hitting, 6-Single-Hit
// 04 Target: 0-Passive, 1-Enemy, 2-Place, 4-Self, 16-Friend, 32-Trap
// 05 Element: 0-Nothing, 1-Water, 2-Earth, 3-Fire, 4-Wind, 5-Poison, 6-Holy, 7-Dark, 8-Sense, 9-Immortal
// 06 Skill Information #1: 0-Normal Skill, 1-No Damage Skill, 2-Splash Damage Skill
// 07 Maximum Skill Level
// 08 Hit Frequency: Number of Hits The Skill Does
// 09 Cast Cancelled: Cancelled-1, Not Cancelled-0
// 10 Ratio of The Defensive Power Which Decreases In 10 Castings (Defense-Reduction Rate During Cast)
// 11 Skill Information #2: 1-Quest Skill, 2-Npc Skill, 4-Wedding Skill
//    8-Spirit Skill, 16-Guild Skill, 32-Song/Dance, 64-Ensemble Skill
//    128-Trap (Targetable), 256-Skill That Damages/Targets Yourself
//    512-Cannot Be Casted On Self (if 06 = 4, auto-select target skill)
// 12 Attack Type: None, Weapon, Magic, Misc
// 13 Blowcount Amount of Tiles The Skill Knockbacks
//
// Note: Delete 7th entry when importing from eAthena
//

// First Class Skills
1,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Basic Skills#
//243,0,0,0,0,0,1,0,no,0,0,0,none,0	//AM_CALLHOMUN#Call Homunuclus#
//244,0,0,0,0,0,1,0,no,0,0,0,none,0	//AM_REST#Peaceful Rest#
//245,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_DRILLMASTER#Drillmaster#
//246,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_HEALHOMUN#Heal Homunuclus#
//247,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_RESURRECTHOMUN#Resurrect Homunuclus#
248,0,0,0,0,0,10,0,no,0,0,0,none,0	//CR_TRUST#Faith#
249,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//CR_AUTOGUARD#Guard#
250,3,6,1,0,2,5,1,no,0,0,0,weapon,5:6:7:8:9	//CR_SHIELDCHARGE#Smite#
251,3:5:7:9:11,6,1,0,0,5,1,no,0,0,0,weapon,0	//CR_SHIELDBOOMERANG#Shield Boomerang#
252,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//CR_REFLECTSHIELD#Shield Reflect#
253,-2,8,1,6,0,10,2,no,0,0,0,weapon,0	//CR_HOLYCROSS#Holy Cross#
254,9,6,4,6,0,10,1,no,33,256,0,magic,0	//CR_GRANDCROSS#Grand Cross#
255,7:8:9:10:11,6,16,0,1,5,1,yes,0,0,0,magic,0	//CR_DEVOTION#Sacrifice#
256,9,6,16,0,1,5,1,yes,0,512,0,magic,0	//CR_PROVIDENCE#Resistant Souls#
257,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//CR_DEFENDER#Defending Aura#
258,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//CR_SPEARQUICKEN#Spear Quicken#
259,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//MO_IRONHAND#Iron Fists#
260,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//MO_SPIRITSRECOVERY#Spiritual Cadence#
261,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//MO_CALLSPIRITS#Summon Spirit Sphere#
262,9,6,16,0,1,1,1,no,0,0,0,weapon,0	//MO_ABSORBSPIRITS#Absorb Spirit Sphere#
263,1,8,0,0,0,10,3,no,0,0,0,weapon,0	//MO_TRIPLEATTACK#Raging Triple Blow#
264,18,6,2,0,1,1,1,no,0,0,0,none,0	//MO_BODYRELOCATION#Snap#
265,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//MO_DODGE#Dodge#
266,2,6,1,0,0,5,1,no,0,0,0,weapon,0	//MO_INVESTIGATE#Occult Impact#
267,9,8,1,0,0,5,1:2:3:4:5,no,0,0,0,weapon,0	//MO_FINGEROFFENSIVE#Throw Spirit Sphere#
268,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//MO_STEELBODY#Mental Strength#
269,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//MO_BLADESTOP#Root#
270,0,6,4,0,1,5,0,no,0,0,0,weapon,0	//MO_EXPLOSIONSPIRITS#Fury#
271,3,6,4,0,0,5,1,yes,0,4,0,weapon,0	//MO_EXTREMITYFIST#Asura Strike#
272,-2,8,4,0,0,5,4,no,0,0,0,weapon,0	//MO_CHAINCOMBO#Raging Quadruple Blow#
273,-2,6,4,0,0,5,1,no,0,0,0,weapon,0	//MO_COMBOFINISH#Raging Thrust#
274,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//SA_ADVANCEDBOOK#Study#
275,0,6,4,0,1,5,1,no,0,0,0,magic,0	//SA_CASTCANCEL#Cast Cancel#
276,0,6,4,0,1,5,1,yes,0,0,0,magic,0	//SA_MAGICROD#Magic Rod#
277,9,6,1,0,1,5,1,yes,0,0,0,magic,0	//SA_SPELLBREAKER#Spell Break#
278,0,0,0,0,0,10,0,no,0,0,0,magic,0	//SA_FREECAST#Free Cast#
279,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//SA_AUTOSPELL#Hindsight#
280,9,6,16,0,1,5,1,yes,0,3072,0,magic,0	//SA_FLAMELAUNCHER#Endow Blaze#
281,9,6,16,0,1,5,1,yes,0,3072,0,magic,0	//SA_FROSTWEAPON#Endow Tsunami#
282,9,6,16,0,1,5,1,yes,0,3072,0,magic,0	//SA_LIGHTNINGLOADER#Endow Tornado#
283,9,6,16,0,1,5,1,yes,0,3072,0,magic,0	//SA_SEISMICWEAPON#Endow Quake#
284,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//SA_DRAGONOLOGY#Dragonology#
285,2,6,2,0,1,5,1,yes,0,0,0,magic,0	//SA_VOLCANO#Volcano#
286,2,6,2,0,1,5,1,yes,0,0,0,magic,0	//SA_DELUGE#Deluge#
287,2,6,2,0,1,5,1,yes,0,0,0,magic,0	//SA_VIOLENTGALE#Whirlwind#
288,2,6,2,0,1,5,1,yes,0,0,0,magic,0	//SA_LANDPROTECTOR#Magnetic Earth#
289,9,6,1,0,1,5,1,yes,0,0,0,magic,0	//SA_DISPELL#Dispel#
290,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//SA_ABRACADABRA#Hocus-Pocus#
291,9,6,1,0,1,1,1,yes,0,0,0,magic,0	//SA_MONOCELL#Monocell#
292,9,6,1,0,1,1,1,yes,0,0,0,magic,0	//SA_CLASSCHANGE#Class Change#
293,0,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_SUMMONMONSTER#Summon Monster#
294,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_REVERSEORCISH#Orcish Face#
295,9,6,1,0,1,1,1,yes,0,0,0,magic,0	//SA_DEATH#Death#
296,9,6,1,0,1,1,1,yes,0,0,0,magic,0	//SA_FORTUNE#Fortune#
297,9,6,1,0,1,1,1,yes,0,0,0,magic,0	//SA_TAMINGMONSTER#Tame Monster#
298,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_QUESTION#Question#
299,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_GRAVITY#Gravity#
300,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_LEVELUP#Level Up#
301,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_INSTANTDEATH#Instant Death#
302,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_FULLRECOVERY#Fully Recovery#
303,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//SA_COMA#Coma#
304,0,6,4,0,1,1,1,no,0,0,0,none,0	//BD_ADAPTATION#Amp#
305,0,6,4,0,1,1,1,no,0,0,0,none,0	//BD_ENCORE#Encore#
306,0,6,4,0,1,1,1,no,0,0,0,misc,0	//BD_LULLABY#Lullaby#
307,0,6,4,0,1,5,1,no,0,0,0,misc,0	//BD_RICHMANKIM#Mental Sensing#
308,0,6,4,0,1,1,1,no,0,0,0,misc,0	//BD_ETERNALCHAOS#Down Tempo#
309,0,6,4,0,1,5,1,no,0,0,0,misc,0	//BD_DRUMBATTLEFIELD#Battle Theme#
310,0,6,4,0,1,5,1,no,0,0,0,misc,0	//BD_RINGNIBELUNGEN#Harmonic Luck#
311,0,6,4,0,1,1,1,no,0,0,0,misc,0	//BD_ROKISWEIL#Classical Puck#
312,0,6,4,0,1,1,1,no,0,0,0,misc,0	//BD_INTOABYSS#Power Chord#
313,0,6,4,0,1,5,1,no,0,0,0,misc,0	//BD_SIEGFRIED#Acoustic Rhythm#
//314,0,0,0,0,0,1,1,no,0,0,0,misc,0	//BD_RAGNAROK#Ragnarok#
315,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//BA_MUSICALLESSON#Music Lesson#
316,9,6,1,0,0,5,1,no,0,0,0,weapon,0	//BA_MUSICALSTRIKE#Melody Strike#
317,0,8,4,0,1,5,1,no,0,0,0,misc,0	//BA_DISSONANCE#Unchained Serenade#
318,0,6,4,0,1,5,1,no,0,0,0,misc,0	//BA_FROSTJOKE#Frost Joke#
319,0,6,4,0,1,10,1,no,0,0,0,misc,0	//BA_WHISTLE#Perfect Tablature#
320,0,6,4,0,1,10,1,no,0,0,0,misc,0	//BA_ASSASSINCROSS#Impressive Riff#
321,0,6,4,0,1,10,1,no,0,0,0,misc,0	//BA_POEMBRAGI#Magical Strings#
322,0,6,4,0,1,10,1,no,0,0,0,misc,0	//BA_APPLEIDUN#Song of Lutie#
323,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//DC_DANCINGLESSON#Dance Lessons#
324,9,6,1,0,0,5,1,no,0,0,0,weapon,0	//DC_THROWARROW#Slinging Arrow#
325,0,8,4,0,1,5,1,no,0,0,0,misc,0	//DC_UGLYDANCE#Hip Shaker#
326,0,6,4,0,1,5,1,no,0,0,0,misc,0	//DC_SCREAM#Dazzler#
327,0,6,4,0,1,10,1,no,0,0,0,misc,0	//DC_HUMMING#Focus Ballet#
328,0,6,4,0,1,10,1,no,0,0,0,misc,0	//DC_DONTFORGETME#Slow Grace#
329,0,6,4,0,1,10,1,no,0,0,0,misc,0	//DC_FORTUNEKISS#Lady Luck#
330,0,6,4,0,1,10,1,no,0,0,0,misc,0	//DC_SERVICEFORYOU#Gypsy's Kiss#

// Server/NPC Skills
331,1,6,4,3,1,10,1,no,0,2,0,misc,3	//NPC_SELFDESTRUCTION2#Self-Destruction2#
//Missing 332 #NPC_SPEEDUP#
//Missing 333 #NPC_REVENGE#

// Marriage Skills
334,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//WE_MALE#I Will Protect You#
335,9,6,4,0,1,1,1,yes,0,0,0,magic,0	//WE_FEMALE#I Look Up To You#
336,9,6,4,0,1,1,1,yes,0,0,1,magic,0	//WE_CALLPARTNER#I Miss You#

// Server/NPC Skills
337,9,6,1,0,0,1,1,no,0,0,0,weapon,0	//ITM_TOMAHAWK#Throw Tomahawk#
338,0,0,0,0,0,0,0,no,0,0,0,none,0	//NPC_DARKCROSS#Dark Cross#
339,-1,6,4,7,0,10,1,no,33,256,0,magic,0		//NPC_DARKGRANDCROSS#Dark Grandcross#
340,9,8,1,7,0,10,1:1:2:2:3:3:4:4:5:5,yes,0,2,0,magic,0	//NPC_DARKSOULSTRIKE#Dark Soulstrike#
341,9,8,1,7,0,10,3:4:5:6:7:8:9:10:11:12,yes,0,2,0,magic,2:3:3:4:4:5:5:6:6:7	//NPC_DARKJUPITEL#Dark Jupitel Thunder#
342,9,6,1,0,1,1,0,no,0,2,0,none,0	//NPC_STOP#Stop#
343,9,6,1,0,0,5,1,no,0,2,0,weapon,0	//NPC_BREAKWEAPON#Break Weapon#
344,9,6,1,0,0,5,1,no,0,2,0,weapon,0	//NPC_BREAKARMOR#Break Armor#
345,9,6,1,0,0,5,1,no,0,2,0,weapon,0	//NPC_BREAKHELM#Break Helm#
346,9,6,1,0,0,5,1,no,0,2,0,weapon,0	//NPC_BREAKSHIELD#Break Shield#
347,-1,6,1,9,0,10,1,no,0,2,0,weapon,0	//NPC_UNDEADATTACK#Undead Attack#
348,2,6,4,0,1,20,0,no,0,2,0,misc,0	//NPC_RUN#Running#
349,0,6,4,0,1,10,0,no,0,2,0,weapon,0	//NPC_POWERUP#Power Up#
350,0,6,4,0,1,10,0,no,0,2,0,none,0	//NPC_AGIUP#Agi Up#
351,0,0,0,0,1,0,0,no,0,2,0,none,0	//NPC_INVISIBLE#Invisible#
352,0,0,4,9,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEUNDEAD#Change Undead Element#
354,2,0,4,0,1,1,0,no,0,2,0,none,0 //NPC_CALLSLAVE#Call Slave#

// Advanced Class Skills
355,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//LK_AURABLADE#Aura Blade#
356,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//LK_PARRYING#Parrying#
357,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//LK_CONCENTRATION#Concentration#
358,0,6,4,0,1,1,1,no,0,0,0,misc,0	//LK_TENSIONRELAX#Relax#
359,0,6,4,0,1,1,1,no,0,0,0,misc,0	//LK_BERSERK#Frenzy#
//360,0,6,4,0,1,1,1,no,0,0,0,misc,0	//LK_FURY#Fury#
361,8,6,16,0,1,5,1,yes,0,0,0,magic,0	//HP_ASSUMPTIO#Assumptio#
362,4,6,4,0,1,5,1,yes,0,0,0,magic,2	//HP_BASILICA#Basilica#
363,0,0,0,0,0,10,0,no,0,0,0,magic,0	//HP_MEDITATIO#Meditatio#
364,0,0,0,0,0,10,1,no,0,0,0,magic,0	//HW_SOULDRAIN#Soul Drain#
365,9,8,1,-1,0,1,1,yes,0,0,0,magic,0	//HW_MAGICCRASHER#Stave Crasher#
366,0,6,4,0,1,10,1,no,0,0,0,magic,0	//HW_MAGICPOWER#Mystical Amplification#
367,9,8,1,0,2,5,1,no,0,0,0,magic,0	//PA_PRESSURE#Gloria Domini#
368,0,6,4,0,1,5,1,yes,0,0,0,magic,0	//PA_SACRIFICE#Martyr's Reckoning#
369,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//PA_GOSPEL#Battle Chant#
370,-2,6,1,0,0,5,1,yes,0,0,0,weapon,3	//CH_PALMSTRIKE#Raging Palm Strike#
371,-2,8,4,-1,0,5,1,no,0,0,0,weapon,0	//CH_TIGERFIST#Glacier Fist#
372,-2,8,4,0,0,10,1:1:2:2:3:3:4:4:5:5,no,0,0,0,weapon,0	//CH_CHAINCRUSH#Chain Crush Combo#
373,0,6,4,0,1,5,1,no,0,0,0,magic,0	//PF_HPCONVERSION#Health Conversion#
374,9,6,16,0,1,1,1,yes,0,3072,0,none,0	//PF_SOULCHANGE#Soul Exhale#
375,9,6,1,0,0,5,1,yes,0,0,0,magic,0	//PF_SOULBURN#Soul Siphon#
376,0,0,0,0,1,5,1,no,0,0,0,weapon,0	//ASC_KATAR#Advanced Katar Mastery#
//377,0,0,4,0,1,10,1,no,0,0,0,misc,0	//ASC_HALLUCINATION#Hallucination Walk#
378,0,6,4,5,1,5,1,no,0,1024,0,weapon,0		//ASC_EDP#Encant Deadly Poison#
379,9,6,1,0,0,10,1,no,0,0,0,weapon,0	//ASC_BREAKER#Soul Destroyer#
380,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//SN_SIGHT#Falcon Eyes#
381,3,8,1,0,0,5,1:2:3:4:5,yes,0,0,0,misc,0	//SN_FALCONASSAULT#Falcon Assault#
382,14,8,1,0,0,5,1,no,0,0,0,weapon,0	//SN_SHARPSHOOTING#Focused Arrow Strike#
383,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//SN_WINDWALK#Wind Walker#
384,0,0,4,0,1,10,1,yes,0,0,0,magic,0	//WS_MELTDOWN#Shattering Strike#
//385,0,0,4,0,1,1,1,yes,0,0,0,magic,0	//WS_CREATECOIN#Create Coins#
//386,0,0,4,0,1,1,1,yes,0,0,0,magic,0	//WS_CREATENUGGET#Create Nugget#s
387,0,6,4,0,1,1,1,no,0,0,0,weapon,0	//WS_CARTBOOST#Cart Boost#
//388,8,6,2,0,1,5,1,no,0,0,0,none,0	//WS_SYSTEMCREATE#Auto-Attack System#
389,0,6,4,0,1,5,1,yes,0,0,0,none,0	//ST_CHASEWALK#Stealth#
390,0,0,4,0,1,5,1,yes,0,0,0,magic,0	//ST_REJECTSWORD#Counter Instinct#
//391,0,0,4,0,1,1,1,yes,0,0,0,magic,0	//ST_STEALBACKPACK#Steal Backpack#
392,0,0,4,0,1,5,1,yes,0,0,0,magic,0	//CR_ALCHEMY#Alchemy#
393,0,0,4,0,1,1,1,yes,0,0,0,magic,0	//CR_SYNTHESISPOTION#Potion Synthesis#
394,9,8,1,0,0,10,9,no,0,0,0,weapon,0	//CG_ARROWVULCAN#Vulcan Arrow#
395,3,0,4,0,1,1,1,yes,0,0,0,magic,0	//CG_MOONLIT#Sheltering Bliss#
396,6,6,16,0,1,1,1,yes,0,0,0,magic,0	//CG_MARIONETTE#Marionette Control#
397,5,8,1,0,0,5,5,no,0,0,0,weapon,0	//LK_SPIRALPIERCE#Spiral Pierce#
398,4,6,1,0,0,5,1,no,0,0,0,weapon,0	//LK_HEADCRUSH#Traumatic Blow#
399,4,6,1,0,0,10,1,no,0,0,0,weapon,0	//LK_JOINTBEAT#Vital Strike#
400,9,8,1,8,0,5,1:2:3:4:5,yes,0,0,0,magic,0	//HW_NAPALMVULCAN#Napalm Vulcan#
401,0,6,4,0,1,1,1,yes,0,0,0,weapon,0	//CH_SOULCOLLECT#Zen#
402,9,6,1,0,1,5,1,no,0,0,0,none,0	//PF_MINDBREAKER#Mind Breaker#
403,0,0,4,0,1,1,1,yes,0,0,0,magic,0	//PF_MEMORIZE#Foresight#
404,3,6,2,2,1,5,1,yes,0,256,2,magic,0	//PF_FOGWALL#Blinding Mist#
405,3,6,2,0,1,1,1,no,0,128,3,misc,0	//PF_SPIDERWEB#Fiber Lock#
406,0,6,4,-1,1,10,1,no,33,0,0,weapon,0	//ASC_METEORASSAULT#Meteor Assault#
407,0,6,4,0,1,1,0,no,0,0,0,none,0	//ASC_CDP#Create Deadly Poison Bottle#

// Adoption Skills
408,9,6,4,0,1,1,1,yes,0,1,0,none,0	//WE_BABY#Baby#
409,9,6,4,0,1,1,1,yes,0,1,1,none,0	//WE_CALLPARENT#Call Parent#
410,9,6,4,0,1,1,1,yes,0,1,1,none,0	//WE_CALLBABY#Call Baby#

// TaeKwon Class Skills
411,0,6,4,0,1,10,1,yes,0,0,0,magic,0	//TK_RUN#Sprint#
412,0,6,4,0,1,1,1,no,0,0,0,none,0		//TK_READYSTORM#Prepare Whirlwind Kick#
413,-2,8,4,0,0,7,1,no,0,0,0,weapon,0	//TK_STORMKICK#Whirlwind Kick#
414,0,6,4,0,1,1,1,no,0,0,0,none,0		//TK_READYDOWN#Prepare Axe Kick#
415,-2,8,4,0,0,7,3,no,0,0,0,weapon,0	//TK_DOWNKICK#Axe Kick#
416,0,6,4,0,1,1,1,no,0,0,0,none,0		//TK_READYTURN#Prepare Round Kick#
417,-2,8,4,0,0,7,3,no,0,0,0,weapon,0	//TK_TURNKICK#Round Kick#
418,0,6,4,0,1,1,1,no,0,0,0,none,0		//TK_READYCOUNTER#Prepare Counter Kick#
419,-2,8,4,0,0,7,3,no,0,0,0,weapon,0	//TK_COUNTER#Counter Kick#
420,0,6,4,0,1,1,1,no,0,0,0,weapon,0		//TK_DODGE#Break Fall#
421,9,8,4,0,0,7,3,no,0,4,0,weapon,0	//TK_JUMPKICK#Flying Side Kick#
422,0,0,0,0,0,10,0,no,0,0,0,none,0	//TK_HPTIME#Peaceful Rest#
423,0,0,0,0,0,10,0,no,0,0,0,none,0	//TK_SPTIME#Enjoyable Rest#
424,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//TK_POWER#Fighting Chant#
425,0,6,4,2:4:1:3:8:7:6,1,7,1,no,0,0,0,weapon,0	//TK_SEVENWIND#Mild Wind#
426,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//TK_HIGHJUMP#Taekwon Jump#

// Star Gladiator/Taekwon Master Skills
427,0,6,4,0,1,3,1,yes,0,0,0,magic,0	//SG_FEEL#Feeling the Sun, Moon and Stars#
428,1,6,4,-1,2,3,1,yes,0,0,0,weapon,2	//SG_SUN_WARM#Warmth of the Sun#
429,1,6,4,-1,2,3,1,yes,0,0,0,weapon,2	//SG_MOON_WARM#Warmth of the Moon#
430,1,6,4,-1,2,3,1,yes,0,0,0,weapon,2	//SG_STAR_WARM#Warmth of the Star#
431,0,0,4,0,1,4,1,yes,0,0,0,magic,0	//SG_SUN_COMFORT#Comfort of the Sun#
432,0,0,4,0,1,4,1,yes,0,0,0,magic,0	//SG_MOON_COMFORT#Comfort of the Moon#
433,0,0,4,0,1,4,1,yes,0,0,0,magic,0	//SG_STAR_COMFORT#Comfort of the Star#
434,10,6,1,0,1,3,1,yes,0,0,0,magic,0	//SG_HATE#Hatred of the Sun, Moon and Stars#
435,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_SUN_ANGER#Sun's Wrath#
436,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_MOON_ANGER#Moon's Wrath#
437,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_STAR_ANGER#Stars's Wrath#
438,0,0,0,0,0,5,0,no,0,0,0,none,0	//SG_SUN_BLESS#Blessing of the Sun#
439,0,0,0,0,0,5,0,no,0,0,0,none,0	//SG_MOON_BLESS#Blessing of the Moon#
440,0,0,0,0,0,5,0,no,0,0,0,none,0	//SG_STAR_BLESS#Blessing of the Star#
441,0,0,0,0,0,10,0,no,0,0,0,none,0	//SG_DEVIL#Demon of the Sun, Moon and Stars#
442,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_FRIEND#Friend of the Sun, Moon and Stars#
443,0,0,0,0,0,10,0,no,0,0,0,none,0	//SG_KNOWLEDGE#Knowledge of the Sun, Moon and Stars#
444,0,6,4,0,1,1,1,no,0,0,0,misc,0	//SG_FUSION#Union of the Sun, Moon and Stars#

// Soul Linker Skills
445,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_ALCHEMIST#Spirit of Alchemist#
446,9,6,16,0,1,1,1,no,0,3072,0,none,0	//AM_BERSERKPITCHER#Berserk Pitcher#
447,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_MONK#Spirit of Monk#
448,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_STAR#Spirit of Star Gladiator#
449,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_SAGE#Spirit of Sage#
450,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_CRUSADER#Spirit of Crusader#
451,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_SUPERNOVICE#Spirit of Super Novice#
452,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_KNIGHT#Spirit of Knight#
453,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_WIZARD#Spirit of Wizard#
454,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_PRIEST#Spirit of Priest#
455,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_BARDDANCER#Spirit of Bard/Dancer#
456,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_ROGUE#Spirit of Rogue#
457,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_ASSASIN#Spirit of Assassin#
458,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_BLACKSMITH#Spirit of Blacksmith#
459,0,6,4,0,1,1,1,no,0,0,0,weapon,0	//BS_ADRENALINE2#Full Adrenaline Rush#
460,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_HUNTER#Spirit of Hunter#
461,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_SOULLINKER#Spirit of Soul Linker#
462,9,6,16,0,1,7,1,yes,0,0,0,magic,0	//SL_KAIZEL#Kaizel#
463,9,6,16,0,1,7,1,yes,0,0,0,magic,0	//SL_KAAHI#Kaahi#
464,9,6,16,0,1,3,1,yes,0,0,0,magic,0	//SL_KAUPE#Kaupe#
465,9,6,16,0,1,7,1,yes,0,0,0,magic,0	//SL_KAITE#Kaite#
466,0,0,0,0,0,7,0,no,0,0,0,none,0	//SL_KAINA#Kaina#
467,9,6,1,0,0,7,1,yes,0,0,0,magic,2	//SL_STIN#Estun#
468,9,6,1,0,0,7,1,yes,0,0,0,magic,0	//SL_STUN#Estun#
469,9,8,1,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0 //SL_SMA#Esma#
470,9,6,1,0,1,7,1,yes,0,0,0,magic,0	//SL_SWOO#Eswoo#
471,9,6,1,0,1,3,1,yes,0,0,0,magic,0	//SL_SKE#Eske#
472,9,6,1,0,1,3,1,yes,0,0,0,magic,0	//SL_SKA#Eska#

// Extended Advanced Class Skills
475,0,0,4,0,1,1,1,yes,0,0,0,magic,0	//ST_PRESERVE#Preserve#
476,1,6,1,0,1,5,1,yes,0,0,0,weapon,0	//ST_FULLSTRIP#Divest All#
477,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//WS_WEAPONREFINE#Upgrade Weapon#
478,9,6,2,0,1,10,1,yes,0,0,0,none,0	//CR_SLIMPITCHER#Aid Condensed Potion#
479,1,6,16,0,1,5,1,yes,0,0,0,weapon,0	//CR_FULLPROTECTION#Full Chemical Protection#
480,4,8,1,0,0,5,5,yes,0,0,0,weapon,0	//PA_SHIELDCHAIN#Shield Chain#
481,0,0,0,0,0,5,0,no,0,0,0,none,0	//HP_MANARECHARGE#Mana Recharge#
482,0,6,4,0,1,5,1,yes,0,0,0,magic,0	//PF_DOUBLECASTING#Double Casting#
483,9,6,2,0,1,1,1,yes,0,0,0,none,0	//HW_GANBANTEIN#Ganbantein#
484,8,6,2,0,1,5,1,yes,0,0,0,magic,0	//HW_GRAVITATION#Gravitation Field#
485,-2,6,1,0,0,10,1,no,0,0,0,weapon,0	//WS_CARTTERMINATION#Cart Termination#
486,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//WS_MAXOVERTHRUST#Maximum Power Thrust#
487,0,6,4,0,1,5,1,no,0,0,0,none,0	//CG_LONGINGFREEDOM#Longing for Freedom#
488,0,6,4,0,1,5,1,no,0,0,0,misc,0	//CG_HERMODE#Wand of Hermod#
489,9,6,1,0,1,5,1,yes,0,0,0,misc,0	//CG_TAROTCARD#Tarot Card of Fate#
490,9,8,1,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,misc,0	//CR_ACIDDEMONSTRATION#Acid Demonstration#
491,1,6,2,0,1,2,1,no,0,0,0,none,0	//CR_CULTIVATION#Cultivation#

// Extra TaeKwon Class Skills
493,0,6,4,0,1,1,1,no,0,0,0,none,0	//TK_MISSION#Taekwon Mission#
494,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//SL_HIGH#Spirit of Rebirth#
495,0,6,4,0,1,1,1,no,0,0,0,weapon,0	//KN_ONEHAND#Onehand Quicken#
496,0,6,4,0,1,1,0,no,0,0,0,none,0		//AM_TWILIGHT1#Twilight Alchemy 1#
497,0,6,4,0,1,1,0,no,0,0,0,none,0		//AM_TWILIGHT2#Twilight Alchemy 2#
498,0,6,4,0,1,1,0,no,0,0,0,none,0		//AM_TWILIGHT3#Twilight Alchemy 3#
499,-3,8,1,0,0,1,2,no,0,0,0,weapon,0	//HT_POWER#Beast Strafing#

// Gunslinger Class Skills
500,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//GS_GLITTERING#Flip the Coin#
501,9,6,1,-1,0,1,1,no,0,0,0,misc,0	//GS_FLING#Fling#
